Manufacturer,Model,Efficiency Rating,Noise Rating,Total Score,Relative Performance,Average Efficiency [%],Average Efficiency (20-80W) [%],Efficiency 2% [%],Avg Noise Output [dB(A)],Report Date,Report,,,,,,,,,,,
""
"1st Player","ACK 750W Gold","GOLD","Standard++","82.3115","85.68","90.700","85.367","-","34.74","2025-09-09",""
"1st Player","ACK 750W Silver","SILVER","Standard++","76.3042","79.43","88.808","79.448","-","33.05","2025-01-22",""
"1st Player","ACK 850W Bronze","BRONZE","Standard++","71.4944","74.42","86.934","76.901","-","32.97","2025-11-15",""
"1st Player","ACK 850W Silver","SILVER","Standard++","78.5895","81.81","88.845","79.172","-","34.21","2025-05-31",""
"1st Player","ACK Bronze 650W (ATX v3.1)","BRONZE","Standard++","68.9961","71.82","86.054","77.086","-","30.80","2025-02-13",""
"1st Player","ACK Bronze 750W (ATX v3.1)","BRONZE","Standard++","73.2868","76.29","86.719","77.199","-","32.22","2025-02-11",""
"1st Player","NGDP 1200W","PLATINUM","Standard++","84.7844","88.26","91.761","80.620","-","30.67","2025-12-17",""
"1st Player","NGDP 750W","PLATINUM","A","82.3086","85.68","91.113","82.116","65.382","22.43","2024-02-19",""
"1st Player","NGDP 850W","PLATINUM","A","84.4916","87.95","91.413","82.837","68.952","23.74","2024-02-14",""
"ABKO","CM-1050G-A3.1M","PLATINUM","Standard+","82.6740","86.06","92.691","83.748","-","35.01","2025-09-25",""
"ABKO","CM-1200G-A3.1M","PLATINUM","Standard+","82.5815","85.96","92.333","83.263","-","37.09","2025-12-16",""
"ABKO","CM-1200P-A3.1M","PLATINUM","Standard+","85.3740","88.87","91.806","79.400","-","39.67","2025-01-09",""
"ABKO","CM-850G-A3.1M","PLATINUM","Standard++","77.0269","80.18","91.472","81.775","-","33.92","2025-09-29",""
"ABYSM GAMING","Morpheo GX5 1000W","PLATINUM","A-","83.5873","87.01","91.653","80.836","69.023","26.39","2024-05-23",""
"ABYSM GAMING","Morpheo GX5 1300W","PLATINUM","Standard+","88.5955","92.22","92.428","79.831","-","35.14","2026-02-04",""
"ABYSM GAMING","Morpheo GX5 850W","PLATINUM","Standard++","83.9533","87.39","91.415","83.160","69.682","32.12","2024-05-28",""
"ACEGEEK","ACG1000","GOLD","Standard","74.1833","77.22","90.402","74.022","-","43.34","2025-07-14",""
"ACEGEEK","ACG750","GOLD","Standard+","73.6691","76.69","90.161","80.310","-","39.53","2025-07-16",""
"ACEGEEK","ACG850","GOLD","Standard+","77.3865","80.56","90.554","78.959","-","39.08","2025-07-14",""
"ACEGEEK","ACP1000","PLATINUM","A-","84.4220","87.88","91.709","82.819","-","25.94","2025-07-10",""
"ACEGEEK","ACP1200","PLATINUM","Standard++","85.0319","88.52","91.887","81.674","-","33.23","2025-07-05",""
"Aerocool","Premier G1 1000","PLATINUM","A","84.6956","88.17","91.060","80.417","-","21.74","2025-09-12",""
"Aerocool","Premier G1 750","PLATINUM","A++","83.5784","87.00","91.002","80.539","-","12.49","2025-09-19",""
"Aerocool","Premier G1 850","GOLD","A+","82.7337","86.12","90.765","80.000","-","18.98","2025-09-17",""
"Antec","GSK 1000 ATX3.1","PLATINUM","Standard+","81.4217","84.76","92.307","83.275","-","35.72","2026-02-07",""
"Antec","GSK 1200 ATX3.1","PLATINUM","Standard+","79.5872","82.85","92.253","78.361","-","37.65","2026-02-05",""
"Antec","NeoECO NE1200","PLATINUM","A-","84.1786","87.63","91.942","79.911","-","27.48","2026-01-07",""
"Antec","Signature 2200W ATX3.1","TITANIUM","Standard++","88.7071","92.34","93.091","77.020","-","33.75","2025-07-22",""
"APNX","Max G1 1000","PLATINUM","A+","87.2509","90.83","91.333","80.702","-","16.84","2025-08-15",""
"APNX","Max G1 1200","PLATINUM","A","88.5443","92.17","91.181","80.557","-","20.34","2025-08-13",""
"APNX","Max G1 850","PLATINUM","A++","86.8746","90.43","91.843","82.933","-","13.93","2025-08-18",""
"Aqirys","Magnetar 1000W","GOLD","Standard+","77.5295","80.71","90.578","72.624","60.980","35.03","2024-01-18",""
"Aqirys","Magnetar 850W","GOLD","Standard++","76.0598","79.18","90.923","75.568","70.835","33.15","2024-01-23",""
"ASRock","Phantom Gaming PG-1000G (ATX v3.1)","PLATINUM","A","84.1497","87.60","91.264","77.929","-","20.54","2024-12-27",""
"ASRock","Phantom Gaming PG-1000PSF","PLATINUM","A","81.6844","85.03","91.988","79.370","-","20.62","2025-11-17",""
"ASRock","Phantom Gaming PG-1300G (ATX v3.1)","PLATINUM","A","88.8253","92.46","92.090","74.960","65.665","23.20","2024-10-25",""
"ASRock","Phantom Gaming PG-1600G (ATX v3.1)","PLATINUM","A+","90.0322","93.72","92.354","74.555","-","19.86","2025-02-18",""
"ASRock","Phantom Gaming PG-750G (ATX v3.1)","PLATINUM","A","85.4056","88.90","91.979","-","-","20.35","2025-02-21",""
"ASRock","Phantom Gaming PG-850G (ATX v3.1)","GOLD","A+","81.8109","85.16","91.502","81.924","-","19.40","2025-01-14",""
"ASRock","Phantom Gaming PG-850PSF","PLATINUM","A++","79.8621","83.13","92.026","80.658","-","12.66","2026-02-07",""
"ASRock","Steel Legend SL-1000G / SL-1000GW","PLATINUM","A","83.9487","87.39","92.186","83.735","72.897","22.25","2024-08-20",""
"ASRock","Steel Legend SL-1000P","PLATINUM","A+","86.0514","89.58","92.067","84.638","-","16.19","2026-01-10",""
"ASRock","Steel Legend SL-1200G / SL-1200GW","PLATINUM","A","84.4717","87.93","92.059","80.199","-","22.17","2025-05-29",""
